N,Type,Exact_Time,Approx_Time,Exact_Result,Approx_Result,Gap,Approx_Discarded
5,normal,0.0006802082061767578,5.91278076171875e-05,51,51,0.0,0
5,normal,0.0005393028259277344,3.552436828613281e-05,53,53,0.0,0
5,tight,0.00019073486328125,3.24249267578125e-05,inf,78,,1
5,tight,0.00022721290588378906,2.7179718017578125e-05,77,77,0.0,0
5,greedy_trap,0.00040268898010253906,2.6702880859375e-05,70,70,0.0,0
5,greedy_trap,0.0005402565002441406,3.910064697265625e-05,70,70,0.0,0
5,tiny,0.0005350112915039062,2.956390380859375e-05,7,7,0.0,0
5,tiny,0.0005195140838623047,2.86102294921875e-05,3,3,0.0,0
6,normal,0.0007042884826660156,3.0517578125e-05,12,12,0.0,0
6,normal,0.0027692317962646484,5.817413330078125e-05,20,20,0.0,0
6,tight,0.0004177093505859375,4.220008850097656e-05,3,3,0.0,0
6,tight,0.0005567073822021484,4.9114227294921875e-05,17,17,0.0,0
6,greedy_trap,0.0014913082122802734,4.124641418457031e-05,65,65,0.0,0
6,greedy_trap,0.0022172927856445312,4.7206878662109375e-05,65,65,0.0,0
6,tiny,0.0017881393432617188,4.00543212890625e-05,4,4,0.0,0
6,tiny,0.0013740062713623047,3.814697265625e-05,3,3,0.0,0
7,normal,0.0033669471740722656,4.482269287109375e-05,13,13,0.0,0
7,normal,0.0050356388092041016,4.5299530029296875e-05,6,6,0.0,0
7,tight,0.00037026405334472656,3.647804260253906e-05,inf,16,,1
7,tight,0.00016450881958007812,2.9802322387695312e-05,inf,79,,2
7,greedy_trap,0.0018162727355957031,3.314018249511719e-05,65,65,0.0,0
7,greedy_trap,0.011645078659057617,8.7738037109375e-05,65,65,0.0,0
7,tiny,0.0038352012634277344,5.745887756347656e-05,1,1,0.0,0
7,tiny,0.014153480529785156,7.224082946777344e-05,1,1,0.0,0
8,normal,0.0499575138092041,6.437301635742188e-05,12,12,0.0,0
8,normal,0.012111186981201172,6.794929504394531e-05,3,3,0.0,0
8,tight,0.0015790462493896484,7.605552673339844e-05,inf,95,,3
8,tight,0.0006427764892578125,5.435943603515625e-05,inf,27,,2
8,greedy_trap,0.008029460906982422,6.318092346191406e-05,60,60,0.0,0
8,greedy_trap,0.028896808624267578,7.462501525878906e-05,60,60,0.0,0
8,tiny,0.02339482307434082,8.440017700195312e-05,1,1,0.0,0
8,tiny,0.025519609451293945,7.224082946777344e-05,1,1,0.0,0
9,normal,0.04523491859436035,6.771087646484375e-05,2,4,100.0,0
9,normal,0.01224970817565918,7.224082946777344e-05,5,6,20.0,0
9,tight,0.00041365623474121094,5.8650970458984375e-05,inf,73,,2
9,tight,0.0005314350128173828,6.985664367675781e-05,inf,9,,3
9,greedy_trap,0.010671138763427734,5.7220458984375e-05,60,60,0.0,0
9,greedy_trap,0.0067462921142578125,6.079673767089844e-05,60,60,0.0,0
9,tiny,0.03438687324523926,7.557868957519531e-05,1,1,0.0,0
9,tiny,0.06553387641906738,5.841255187988281e-05,0,0,0.0,0
10,normal,0.004180431365966797,5.53131103515625e-05,inf,28,,2
10,normal,0.05840444564819336,6.866455078125e-05,3,5,66.67,0
10,tight,0.0005211830139160156,4.76837158203125e-05,inf,6,,4
10,tight,0.0003371238708496094,3.910064697265625e-05,inf,6,,4
10,greedy_trap,0.030802488327026367,0.00014853477478027344,55,55,0.0,0
10,greedy_trap,0.02862715721130371,6.0558319091796875e-05,55,55,0.0,0
10,tiny,0.08188509941101074,7.081031799316406e-05,0,0,0.0,0
10,tiny,0.08926272392272949,6.556510925292969e-05,1,1,0.0,0
11,normal,0.25542426109313965,7.939338684082031e-05,2,9,350.0,0
11,normal,0.11263322830200195,7.891654968261719e-05,1,4,300.0,0
11,tight,0.0004756450653076172,4.410743713378906e-05,inf,10,,5
11,tight,0.00040602684020996094,4.553794860839844e-05,inf,50,,4
11,greedy_trap,0.02103567123413086,7.104873657226562e-05,55,55,0.0,0
11,greedy_trap,0.07064414024353027,7.939338684082031e-05,55,55,0.0,0
11,tiny,0.2647252082824707,7.748603820800781e-05,0,0,0.0,0
11,tiny,0.16787505149841309,6.580352783203125e-05,0,2,100.0,0
12,normal,0.13035058975219727,8.893013000488281e-05,10,20,100.0,1
12,normal,0.2655642032623291,7.104873657226562e-05,5,9,80.0,0
12,tight,0.0002269744873046875,5.6743621826171875e-05,inf,5,,6
12,tight,0.00036263465881347656,4.100799560546875e-05,inf,6,,6
12,greedy_trap,0.017752647399902344,4.839897155761719e-05,50,50,0.0,0
12,greedy_trap,0.03518271446228027,6.699562072753906e-05,50,50,0.0,0
12,tiny,0.5032696723937988,6.651878356933594e-05,1,1,0.0,0
12,tiny,0.4447774887084961,6.604194641113281e-05,1,1,0.0,0
13,normal,1.630615234375,8.296966552734375e-05,0,0,0.0,0
13,normal,1.5722622871398926,7.128715515136719e-05,2,12,500.0,0
13,tight,0.0005145072937011719,5.316734313964844e-05,inf,3,,7
13,tight,0.0004105567932128906,4.5299530029296875e-05,inf,8,,7
13,greedy_trap,0.03387737274169922,7.653236389160156e-05,50,50,0.0,0
13,greedy_trap,0.05336356163024902,0.0003056526184082031,50,50,0.0,0
13,tiny,1.2771024703979492,7.343292236328125e-05,0,0,0.0,0
13,tiny,0.7068970203399658,6.961822509765625e-05,0,0,0.0,0
14,normal,0.042960166931152344,0.00027108192443847656,inf,11,,3
14,normal,1.1481952667236328,0.00010037422180175781,0,6,100.0,0
14,tight,0.00020766258239746094,6.628036499023438e-05,inf,9,,8
14,tight,0.00047779083251953125,5.173683166503906e-05,inf,3,,8
14,greedy_trap,0.0445551872253418,6.890296936035156e-05,45,45,0.0,0
14,greedy_trap,0.07349610328674316,6.29425048828125e-05,45,45,0.0,0
14,tiny,3.1892926692962646,7.724761962890625e-05,1,1,0.0,0
14,tiny,1.7415056228637695,7.319450378417969e-05,0,0,0.0,0
15,normal,0.5535657405853271,9.131431579589844e-05,inf,13,,1
15,normal,5.648247003555298,0.0001690387725830078,0,8,100.0,0
15,tight,0.00016498565673828125,5.984306335449219e-05,inf,3,,9
15,tight,0.00030875205993652344,7.605552673339844e-05,inf,9,,9
15,greedy_trap,0.14373993873596191,0.00010132789611816406,45,45,0.0,0
15,greedy_trap,0.08830642700195312,9.870529174804688e-05,45,45,0.0,0
15,tiny,3.5851857662200928,7.987022399902344e-05,1,1,0.0,0
15,tiny,3.828120231628418,7.867813110351562e-05,0,0,0.0,0
16,normal,0.41439294815063477,7.891654968261719e-05,inf,23,,2
16,normal,0.34317541122436523,9.226799011230469e-05,inf,5,,2
16,tight,0.00020265579223632812,7.843971252441406e-05,inf,33,,10
16,tight,0.00037670135498046875,5.3882598876953125e-05,inf,3,,10
16,greedy_trap,0.1069037914276123,7.104873657226562e-05,40,40,0.0,0
16,greedy_trap,0.0695197582244873,6.723403930664062e-05,40,40,0.0,0
16,tiny,6.1366682052612305,9.441375732421875e-05,1,1,0.0,0
16,tiny,4.2379515171051025,8.20159912109375e-05,1,1,0.0,0
17,normal,0.06686639785766602,7.963180541992188e-05,inf,17,,4
17,normal,1.0720186233520508,0.00010061264038085938,inf,101,,2
17,tight,0.00018072128295898438,8.153915405273438e-05,inf,11,,11
17,tight,0.00025010108947753906,6.270408630371094e-05,inf,16,,11
17,greedy_trap,0.08472299575805664,7.343292236328125e-05,40,40,0.0,0
17,greedy_trap,0.09268712997436523,6.747245788574219e-05,40,40,0.0,0
17,tiny,14.104555606842041,0.0001163482666015625,1,1,0.0,0
17,tiny,13.219416618347168,8.678436279296875e-05,1,1,0.0,0
18,normal,10.167008876800537,0.000110626220703125,inf,9,,2
18,normal,1.3825411796569824,9.560585021972656e-05,inf,11,,4
18,tight,0.00048089027404785156,8.511543273925781e-05,inf,3,,12
18,tight,0.00021266937255859375,8.821487426757812e-05,inf,63,,11
18,greedy_trap,0.15278387069702148,7.724761962890625e-05,35,35,0.0,0
18,greedy_trap,0.1575925350189209,6.961822509765625e-05,35,35,0.0,0
18,tiny,17.792869329452515,0.00011467933654785156,1,1,0.0,0
18,tiny,12.716402292251587,0.00010037422180175781,1,1,0.0,0
19,normal,,0.00010180473327636719,Skipped,15,,1
19,normal,,7.390975952148438e-05,Skipped,24,,4
19,tight,,9.202957153320312e-05,Skipped,3,,13
19,tight,,9.870529174804688e-05,Skipped,4,,13
19,greedy_trap,,6.175041198730469e-05,Skipped,35,,0
19,greedy_trap,,0.0001437664031982422,Skipped,35,,0
19,tiny,,7.390975952148438e-05,Skipped,1,,0
19,tiny,,0.00010585784912109375,Skipped,0,,0
20,normal,,0.00010204315185546875,Skipped,1,,4
20,normal,,6.890296936035156e-05,Skipped,14,,8
20,tight,,8.606910705566406e-05,Skipped,5,,14
20,tight,,5.3882598876953125e-05,Skipped,17,,14
20,greedy_trap,,0.00010633468627929688,Skipped,30,,0
20,greedy_trap,,6.0558319091796875e-05,Skipped,30,,0
20,tiny,,0.00012230873107910156,Skipped,1,,0
20,tiny,,0.00015544891357421875,Skipped,1,,0
21,normal,,0.000171661376953125,Skipped,10,,4
21,normal,,0.0001614093780517578,Skipped,74,,7
21,tight,,0.00010275840759277344,Skipped,6,,15
21,tight,,7.82012939453125e-05,Skipped,8,,15
21,greedy_trap,,0.0001513957977294922,Skipped,30,,0
21,greedy_trap,,0.00010967254638671875,Skipped,30,,0
21,tiny,,0.00015783309936523438,Skipped,0,,0
21,tiny,,0.00016808509826660156,Skipped,1,,0
22,normal,,0.00017452239990234375,Skipped,36,,6
22,normal,,0.00015544891357421875,Skipped,5,,5
22,tight,,0.00012826919555664062,Skipped,8,,16
22,tight,,9.059906005859375e-05,Skipped,6,,16
22,greedy_trap,,0.00015282630920410156,Skipped,25,,0
22,greedy_trap,,0.0015518665313720703,Skipped,25,,0
22,tiny,,0.0001227855682373047,Skipped,1,,0
22,tiny,,0.000194549560546875,Skipped,1,,0
